leaid,locale,locale2
0504860,41,Rural
0504890,43,Rural
0504930,33,Town
0504980,42,Rural
0505170,33,Town
0505190,42,Rural
0505340,43,Rural
0505410,13,City
0505430,42,Rural
0505470,33,Town
0505500,32,Town
0505550,42,Rural
0505580,42,Rural
0505680,33,Town
0505760,41,Rural
0505850,32,Town
0505970,42,Rural
0506060,33,Town
0506090,41,Rural
0506120,13,City
0506150,43,Rural
0506210,32,Town
0506240,42,Rural
0506270,32,Town
0506330,13,City
0506360,42,Rural
0506420,41,Rural
0506540,41,Rural
0506630,42,Rural
0506690,42,Rural
0506840,42,Rural
0506870,32,Town
0506900,31,Town
0506930,21,Suburban
0506990,31,Town
0507110,43,Rural
0507140,42,Rural
0507170,42,Rural
0507230,43,Rural
0507290,42,Rural
0507320,21,Suburban
0507350,42,Rural
0507380,33,Town
0507530,42,Rural
0507560,32,Town
0507620,43,Rural
0507680,41,Rural
0507710,43,Rural
0507740,43,Rural
0507770,33,Town
0507840,32,Town
0507860,42,Rural
0507890,13,City
0507920,41,Rural
0507990,32,Town
0508040,21,Suburban
0508130,42,Rural
0508240,43,Rural
0508280,13,City
0508340,42,Rural
0508400,32,Town
0508490,43,Rural
0508610,41,Rural
0508640,41,Rural
0508670,13,City
0508700,42,Rural
0508730,42,Rural
0508940,42,Rural
0509000,12,City
0509060,32,Town
0509150,42,Rural
0509190,41,Rural
0509240,31,Town
0509270,33,Town
0509330,42,Rural
0509360,33,Town
0509390,21,Suburban
0509420,42,Rural
0509480,43,Rural
0509510,43,Rural
0509540,41,Rural
0509570,43,Rural
0509600,43,Rural
0509630,33,Town
0509720,43,Rural
0509750,41,Rural
0509780,42,Rural
0509840,33,Town
0509990,43,Rural
0510080,42,Rural
0510170,41,Rural
0510200,43,Rural
0510260,42,Rural
0510290,42,Rural
0510320,43,Rural
0510380,32,Town
0510410,42,Rural
0510440,13,City
0510560,42,Rural
0510680,13,City
0510920,43,Rural
0510950,32,Town
0510980,42,Rural
0511010,32,Town
0511070,43,Rural
0511130,32,Town
0511220,33,Town
0511340,42,Rural
0511370,33,Town
0511610,41,Rural
0511700,41,Rural
0511730,42,Rural
0511760,31,Town
0511820,41,Rural
0511850,41,Rural
0511880,42,Rural
0511970,13,City
0512000,42,Rural
0512060,33,Town
0512090,43,Rural
0512180,42,Rural
0512210,32,Town
0512420,43,Rural
0512450,32,Town
0512480,43,Rural
0512510,42,Rural
0512520,32,Town
0512540,41,Rural
0512570,42,Rural
0512630,42,Rural
0512660,13,City
0512930,43,Rural
0512960,32,Town
0513080,32,Town
0513110,23,Suburban
0513230,42,Rural
0513350,42,Rural
0513380,41,Rural
0513410,22,Suburban
0513530,42,Rural
0513560,43,Rural
0513680,41,Rural
0513930,13,City
0514010,41,Rural
0514020,42,Rural
0514040,42,Rural
0514140,41,Rural
0514370,42,Rural
0514400,42,Rural
0514430,32,Town
0514490,43,Rural
0600001,41,Rural
0600002,21,Suburban
0600003,21,Suburban
0600006,21,Suburban
0600007,11,City
0600009,43,Rural
0600011,43,Rural
0600012,42,Rural
0600013,21,Suburban
0600014,21,Suburban
0600015,42,Rural
0600016,21,Suburban
0600017,21,Suburban
0600018,43,Rural
0600019,21,Suburban
0600020,13,City
0600021,41,Rural
0600022,41,Rural
0600025,21,Suburban
0600026,41,Rural
0600027,21,Suburban
0600028,12,City
0600029,21,Suburban
0600031,43,Rural
0600032,21,Suburban
0600033,32,Town
0600034,21,Suburban
0600035,22,Suburban
0600036,11,City
0600037,42,Rural
0600038,43,Rural
0600039,23,Suburban
0600040,31,Town
0600042,42,Rural
0600043,22,Suburban
0600044,21,Suburban
0600045,32,Town
0600046,32,Town
0600047,23,Suburban
0600048,13,City
0600049,41,Rural
0600051,32,Town
0600052,33,Town
0600060,21,Suburban
0600061,21,Suburban
0600062,21,Suburban
0600063,31,Town
0600064,13,City
0600065,32,Town
0600067,42,Rural
0600068,31,Town
0600069,41,Rural
0600071,33,Town
0600074,32,Town
0600075,32,Town
0600076,11,City
0600077,13,City
0600078,32,Town
0600079,33,Town
0600080,23,Suburban
0600081,33,Town
0600082,31,Town
0600083,33,Town
0600084,23,Suburban
0600085,12,City
0600086,21,Suburban
0600089,32,Town
0600090,13,City
0600092,21,Suburban
0600093,33,Town
0600094,11,City
0600095,13,City
0600096,41,Rural
0600097,31,Town
0600098,11,City
0600099,32,Town
0600100,33,Town
0600101,13,City
0600103,21,Suburban
0600105,21,Suburban
0600106,21,Suburban
0600107,12,City
0600108,11,City
0600109,11,City
0600110,21,Suburban
0600111,21,Suburban
0600112,21,Suburban
0600113,21,Suburban
0600114,21,Suburban
0600116,42,Rural
0600117,13,City
0600118,41,Rural
0600119,13,City
0600120,12,City
0600121,11,City
0600122,21,Suburban
0600123,12,City
0600124,12,City
0600125,13,City
0600126,42,Rural
0600127,32,Town
0600129,21,Suburban
0600130,13,City
0600131,12,City
0600132,12,City
0600133,22,Suburban
0600134,11,City
0600135,11,City
0600136,21,Suburban
0600137,23,Suburban
0600138,11,City
0600139,11,City
0600140,11,City
0600142,13,City
0600143,13,City
0600144,12,City
0600145,13,City
0600146,32,Town
0600148,13,City
0600149,23,Suburban
0600153,21,Suburban
0600155,43,Rural
0600158,23,Suburban
0600159,43,Rural
0600160,42,Rural
0601322,11,City
0601323,21,Suburban
0601325,43,Rural
0601327,22,Suburban
0601328,23,Suburban
0601329,12,City
0601330,12,City
0601331,43,Rural
0601332,21,Suburban
0601336,21,Suburban
0601339,42,Rural
0601343,12,City
0601346,21,Suburban
0601349,21,Suburban
0601350,21,Suburban
0601351,21,Suburban
0601353,13,City
0601354,12,City
0601355,12,City
0601356,21,Suburban
0601357,12,City
0601358,22,Suburban
0601361,21,Suburban
0601362,21,Suburban
0601363,21,Suburban
0601364,11,City
0601365,12,City
0601366,12,City
0601367,21,Suburban
0601368,42,Rural
0601369,21,Suburban
0601372,12,City
0601373,21,Suburban
0601375,13,City
0601376,12,City
0601377,21,Suburban
0601378,31,Town
0601379,32,Town
0601380,12,City
0601381,11,City
0601382,12,City
0601383,41,Rural
0601384,23,Suburban
0601385,12,City
0601386,12,City
0601387,31,Town
0601388,23,Suburban
0601389,21,Suburban
0601391,21,Suburban
0601393,21,Suburban
0601394,42,Rural
0601395,32,Town
0601396,22,Suburban
0601397,21,Suburban
0601398,11,City
0601400,31,Town
0601401,31,Town
0601402,13,City
